GDP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
France,30159.67962,30652.66305,30459.72132,29345.25531,29691.24163,30039.08144,29896.41822,29738.36966,29863.9634,30161.09234,30547.97303
French Guiana,,,,,,,,,,,
French Polynesia,25984.37893,26209.35717,26351.25146,26452.77856,26564.31526,26703.01329,,,,,
Gabon,12193.42788,12511.14933,12453.39063,11918.31802,12542.54603,13234.17898,13853.46166,14484.89255,15252.10298,16073.20778,16978.16973
Gambia,713.4821891,718.8997366,739.3354236,765.6677492,793.6184343,739.1292926,747.680969,792.3351725,836.8191958,867.121714,893.6536399
Georgia,3764.395205,4235.191671,4345.655775,4178.426353,4388.666828,4668.970355,4943.238143,5212.641597,5511.450476,5841.800558,6208.989703
Germany,31720.47441,32836.51475,33157.24396,31569.16579,32886.85849,33895.82454,34131.8746,34409.90362,34980.3815,35512.94052,36052.79551
Ghana,1267.569003,1315.815141,1391.187033,1410.658779,1485.657586,1657.074597,1728.478474,1801.57924,1876.897445,1952.527574,2012.75047
Gibraltar,,,,,,,,,,,
Greece,26869.65666,27757.23169,27256.46737,26320.44685,24947.10641,23112.03828,21811.33025,20955.09861,21122.32719,21765.29072,22599.66828
Greenland,36172.03002,37009.6506,37869.89551,38413.75668,38874.09331,39867.87158,,,,,
Grenada,8737.777284,9243.138134,9298.847625,8648.417412,8585.78313,8626.448024,8529.685641,8545.889461,8605.964291,8708.243599,8844.05159
Guadeloupe,,,,,,,,,,,
Guam,,,,,,,,,,,
Guatemala,5034.098131,5221.211234,5261.710619,5160.802625,5181.687337,5265.069017,5290.752027,5332.04584,5378.863688,5431.340713,5484.329188
Guernsey,48549.66032,,,,,,,,,,
Guinea,949.930447,946.19981,970.9018747,944.5672996,939.3718791,952.2826197,965.6992602,984.6621729,1010.906108,1039.342689,1073.275779
Guinea-Bissau,569.5798199,575.9734593,582.4375334,587.6130434,595.5368598,614.4239468,593.074251,605.2830826,653.3353537,673.0703135,689.741947
Guyana,3386.171842,3613.051687,3669.784607,3784.005937,3937.588619,4139.258853,4265.106449,4486.607438,4740.963812,5009.280808,5175.873781
Haiti,1181.950707,1201.508858,1191.836119,1206.201311,1148.748227,1193.865472,1180.367196,1268.995115,1329.007097,1389.237731,1449.520465
Holy See,,,,,,,,,,,
Honduras,3409.388897,3546.422665,3620.999213,3460.77827,3516.584288,3572.640149,3615.15658,3658.178755,3690.962601,3724.040267,3757.414522
"Hong Kong, China",37821.40882,40068.582,40771.37281,39584.02684,41939.22256,43600.46338,43854.41291,44768.74758,46337.77172,47952.64753,49665.81324
Hungary,17711.37738,17752.93253,17922.27168,16745.78437,16982.81705,17311.78037,17065.60473,17097.69368,17335.19019,17634.01884,17959.64381
Iceland,36364.32041,37839.21039,37921.95351,35089.41389,33316.46521,33929.32962,34371.17937,34830.37138,35377.93416,35931.61312,36339.85055
India,2292.640805,2488.32885,2605.770925,2699.732953,2961.17336,3147.19221,3229.147887,3368.133968,3531.518345,3716.840663,3920.277314
Indonesia,3363.927796,3527.070203,3686.603054,3803.016437,3982.910268,4181.7808,4379.699819,4590.152327,4815.251755,5053.288998,5306.082719
Iran,11177.95985,11759.19665,11679.1893,11971.14474,12483.19957,12722.30023,12325.12803,12016.01814,11992.57967,12074.69287,12182.38541
Iraq,3422.390665,3371.756518,3496.684192,3602.536911,3760.811656,3959.369416,4160.847088,4397.101088,4623.108662,4857.610296,5141.507725
Ireland,39175.61851,39959.74509,38163.9118,35697.12728,35257.17453,35604.46703,35856.10991,36021.27345,36599.40227,37373.49348,38055.93012
Isle of Man,37361.04764,39642.74968,,,,,,,,,
Israel,24666.25058,25558.55042,26036.39234,25757.80891,26459.26565,27081.78485,27321.20518,27685.90971,28159.28552,28535.06645,28901.91675
Italy,28220.53786,28511.28973,27950.95204,26227.92541,26549.34432,26522.75123,25811.73933,25358.47879,25423.23174,25670.02736,25977.36532
Jamaica,7295.848838,7364.75109,7274.021736,7021.295674,6892.469439,6968.24252,6945.702747,6955.763833,7014.333667,7104.83399,7224.806788
Japan,30784.47881,31426.78694,31079.6708,29364.97157,30731.99257,30593.47479,31273.9932,31836.70092,32357.4949,32783.98877,33283.41213
Jersey,,,,,,,,,,,
Jordan,4536.261537,4801.668696,5037.166157,5197.529518,5201.959287,5216.837705,5242.518262,5291.385841,5353.641448,5442.797311,5560.041284
Kazakhstan,9538.347526,10267.45401,10477.18275,10463.21244,11040.26145,11635.56973,11982.65267,12516.53309,13092.7893,13766.87357,14462.03248
Kenya,1402.772465,1457.042561,1436.098669,1432.29552,1471.325641,1491.87663,1517.697544,1561.227347,1612.224053,1666.371448,1727.999617
Kiribati,3357.175946,3311.64222,3175.279344,3044.813326,3031.819106,3036.74477,3063.645953,3090.78319,3101.736104,3112.724988,3123.754338
"Korea, Dem. Rep.",1571.272264,1544.469677,1584.552306,1562.903509,1548.619789,1540.440188,1540.440188,,,,
"Korea, Rep.",22338.68196,23370.06787,23735.77029,23698.79595,25080.3515,25799.11888,26199.40356,26820.51739,27736.45994,28720.61266,29728.81286
"Korea, United",,,,,,,,,,,
Kosovo,3189.519857,3351.721109,3526.084597,3624.270626,3762.324633,3962.633166,4041.885829,,,,
Kuwait,45415.62198,45069.24819,45620.59639,41868.14281,39766.96425,41127.11597,42045.05924,41336.28413,41481.02749,41899.78084,42334.34926
Kyrgyzstan,1761.741284,1897.204605,2018.200549,2049.898504,2018.144688,2118.052813,2078.208242,2209.195982,2350.54582,2451.572928,2547.648054
Laos,1937.835072,2058.165903,2185.006729,2314.282805,2466.641376,2628.014227,2807.047526,2990.349272,3176.978661,3376.539679,3592.945955
Latvia,14836.4676,16400.95641,15987.01001,13328.84551,13466.90975,14518.8124,15575.27628,16272.04011,17005.82464,17771.25748,18545.53248
Lebanon,10340.6013,11209.21181,12016.98325,12930.41633,13657.99158,13684.95701,13711.97568,13806.72774,14174.72542,14552.53152,14940.40749
Lesotho,1481.967224,1549.992896,1625.468603,1699.34901,1801.349543,1899.504477,1970.471149,2035.250394,2093.666939,2162.650441,2242.068146
Liberia,401.3001614,433.3673727,437.7136012,442.1364996,450.1173633,473.333986,499.809082,523.5168716,537.4684087,562.8605415,578.6857007
Libya,11264.16301,11722.63944,11787.48443,11483.26196,11842.3861,4550.150737,9136.344625,10782.5204,11657.23914,12478.8951,13301.54112
Liechtenstein,88389.52573,95877.64922,92607.24344,82377.95019,89000.29055,90039.04963,,,,,
Lithuania,15275.23503,16863.58622,17445.15575,14938.24784,15408.12507,17693.40655,18469.97482,19156.83496,19902.05297,20696.21164,21566.23022
Luxembourg,72349.70775,75864.94437,73998.71048,69702.16893,70402.8428,69929.44048,68706.38179,67432.87133,67005.89752,66806.1177,66902.23318
"Macao, China",41606.32641,46418.67256,46784.57151,46450.76177,57656.72775,68102.17931,73122.13482,,,,
"Macedonia, FYR",7749.498406,8206.159893,8601.9909,8505.797118,8732.604054,8962.533847,8918.811314,9078.573199,9341.609203,9653.373277,10006.22931
Madagascar,1009.654473,1044.089139,1089.08821,1017.104711,995.2184871,987.7054072,981.478675,982.5419076,994.856495,1009.770178,1030.951427
Malawi,685.7601164,730.2056648,769.4260961,815.464805,844.4226901,856.4676545,848.1910139,869.6546918,896.5368957,928.4594819,963.2785134
Malaysia,11946.34161,12533.22604,12969.67415,12527.0737,13185.43553,13676.03048,14202.21194,14677.01499,15182.12401,15704.61608,16245.08933
Maldives,4719.846552,5117.090053,5654.025805,5358.626872,5642.143188,5940.171544,6046.468208,6170.478778,6313.726904,6463.455385,6617.00787
Mali,1047.846068,1059.523637,1078.488451,1092.573336,1121.551629,1117.234319,1070.551528,1088.209725,1121.610357,1145.236755,1165.910605
Malta,20815.73476,21514.58461,22214.5263,21457.20124,22034.2506,22310.60855,22460.89683,22722.78286,23106.76397,23533.93115,23993.75878
Marshall Islands,6285.850582,6447.343251,6244.02285,6175.16205,6441.44002,6464.545469,6409.365247,6385.438397,6387.723214,6340.957634,6342.244023
Martinique,,,,,,,,,,,
Mauritania,1835.292307,1806.156864,1822.58284,1756.628069,1801.646396,1827.665527,1898.351921,1963.429466,2028.172267,2471.771029,2562.679486
Mauritius,10533.34362,11044.94418,11617.60842,11883.63795,12317.23559,12733.01572,13082.77508,13497.24777,14009.98629,14586.05669,15191.82496
Mayotte,,,,,,,,,,,
Mexico,11739.70775,11924.45899,11870.95703,10980.00275,11390.58354,11689.29521,12030.38621,12314.98836,12607.60908,12900.71282,13194.9804
"Micronesia, Fed. Sts.",5527.408561,5441.673558,5330.066017,5409.574601,5561.49351,5688.062511,5778.874147,5829.557336,5873.603129,5911.826354,5946.32228
Moldova,2482.252564,2562.963423,2769.370343,2607.002803,2794.926563,2987.718928,2963.99306,3085.379554,3211.737162,3375.417229,3547.438495
Monaco,40986.42098,46871.97033,46986.15554,41498.80392,42349.66559,43044.33309,,,,,
Mongolia,2834.870926,3081.884502,3300.274514,3197.801397,3345.801346,3887.17688,4300.133269,4831.356252,5312.1359,5630.627193,6074.394314
Montenegro,8493.499451,9199.53587,9809.704598,9211.664588,9396.213038,10094.76893,10064.16094,10153.70769,10322.20459,10495.40148,10688.8713
Montserrat,11384.30191,11721.38477,12038.98509,12045.27676,11506.74162,11599.62242,,,,,
Morocco,3780.39348,3840.508181,4011.377043,4157.315,4263.175989,4429.000727,4514.519936,4671.202343,4846.165134,5040.776729,5260.7227
Mozambique,791.6756153,832.6720389,872.1096912,909.1659156,954.4875561,1004.289088,1058.441929,1124.854022,1191.021854,1261.082049,1333.088786
Myanmar,1296.083104,1422.899778,1445.056611,1489.444017,1538.131781,1590.148164,1657.045934,1729.43993,1806.708923,1890.11705,1979.791703
Nagorno-Karabakh,,,,,,,,,,,
Namibia,4783.044702,4950.942578,5025.940609,4881.095202,5159.794219,5364.902226,5535.836742,5718.306263,5895.44638,6099.410714,6311.15868
Nauru,5513.590141,4910.190974,9578.96685,7814.866748,7782.098414,8051.769112,,,,,
Nepal,1077.899601,1093.453089,1138.869765,1169.164538,1203.934997,1229.098457,1264.492645,1281.654268,1312.151217,1344.560586,1379.060524
Netherlands,35845.49136,37169.00025,37692.29806,36125.3893,36526.12179,36716.12231,36257.0874,35923.95127,36223.84885,36715.62119,37280.13357
Netherlands Antilles,22841.44222,23192.82704,23358.37853,22885.0475,22582.63359,22338.11555,,,,,
New Caledonia,33203.75751,34026.32506,33936.67052,34189.69926,34812.89297,35450.06804,,,,,
New Zealand,24997.83299,25605.64999,25160.53458,24468.04904,24607.28417,24756.85881,25223.53514,25711.44888,26162.03366,26572.09767,27028.63167
Nicaragua,2714.079962,2829.067685,2904.073179,2804.525572,2871.903509,2991.217243,3098.483517,3173.598721,3251.281415,3331.607776,3419.727587
Niger,626.2733083,608.2536736,643.8053493,615.9870328,661.1771297,655.0936419,706.7942483,727.8313583,751.326071,772.1116738,792.8643212
Nigeria,1955.67624,2036.029517,2100.105751,2186.14934,2297.341367,2400.314044,2483.989409,2590.637189,2698.238931,2810.904034,2927.607856
Niue,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,
Northern Mariana Islands,10059.26592,,,,,,,,,,
Norway,48221.98627,48979.06288,48321.90584,47116.84479,46595.82113,46608.41351,47383.62453,48019.29317,48537.85274,48998.97346,49475.39945
Oman,21038.55599,21990.96143,24358.545,24303.68023,29371.91689,25829.15719,26292.84807,26540.1711,26602.78537,26674.56316,26805.04375
Pakistan,2489.060915,2611.619308,2660.74984,2590.53944,2614.772162,2639.178974,2681.120782,2719.252208,2753.472921,2783.329398,2810.750859
Palau,13332.03634,13539.61191,13331.3236,13638.37255,13825.52047,13980.81927,,,,,
Panama,8960.43771,9868.157454,10674.42449,10890.02622,11494.67388,12516.43837,13607.14336,14567.44612,15344.93162,16081.92217,16800.83471
Papua New Guinea,1745.90514,1828.013749,1904.762816,1976.182786,2073.925052,2247.198573,2391.579512,2436.57414,2510.238864,2940.059633,2975.351581
Paraguay,4007.330952,4141.758159,4318.762318,4066.169958,4508.385932,4611.844026,4467.158725,4861.319788,4985.235783,5117.197907,5252.653145
Peru,6860.370006,7317.635887,7912.557759,7859.032504,8419.90566,8864.580289,9277.57076,9709.51205,10149.49545,10594.73842,11058.65041
Philippines,3025.051073,3161.947667,3228.118596,3247.247376,3434.695972,3508.335945,3677.101975,3831.227748,3961.510742,4089.677247,4225.999827
Pitcairn,,,,,,,,,,,
Poland,14424.59855,15416.09702,16210.60037,16465.80988,17089.72163,17660.38585,17851.94777,17915.92574,18141.85997,18454.80068,18888.40987
Portugal,20218.29032,20638.91465,20601.22862,19983.8616,20350.98257,20158.98667,19576.41084,19095.00688,19194.3042,19471.11261,19812.72739
Puerto Rico,19291.59271,18967.79006,18647.65453,18512.78741,18517.9079,18271.04735,,,,,
Qatar,73921.14584,74095.38064,73806.56813,73031.84665,82181.86737,89280.87016,91492.64527,92549.06811,93454.45157,95795.01194,97831.54507
Reunion,7375.610608,7670.122558,,,,,,,,,
Romania,10128.11945,10779.84707,11590.78046,10844.81324,10738.96394,11002.83849,11058.18097,11256.27546,11501.25876,11791.34536,12154.47255
Russia,12881.82662,14020.45804,14756.21687,13614.7661,14207.51818,14869.29627,15427.61675,16002.35618,16664.47233,17340.36401,18032.48168
Rwanda,872.3054997,901.5112011,1001.280011,1041.826852,1094.057911,1160.033646,1223.525709,1289.435519,1353.844148,1418.818062,1486.910209
Saint Barth¨¦lemy,,,,,,,,,,,
Saint Helena,,,,,,,,,,,
Saint Kitts and Nevis,14033.13932,14424.9738,14695.27601,13799.81092,13535.56174,13024.63596,12659.63223,12649.86493,12796.04934,12958.39138,13142.12103
Saint Lucia,10055.44148,10163.96541,10626.24157,10607.21068,10572.64957,10653.71709,10541.44756,10590.68223,10755.91471,10949.37841,11166.99498
Saint Martin,,,,,,,,,,,
Saint Vincent and the Grenadines,7126.107476,7308.70116,7264.529697,7096.665861,6925.207789,6946.792388,6975.140224,7040.154314,7172.844059,7378.466832,7631.219093
Saint-Pierre-et-Miquelon,,,,,,,,,,,
Samoa,4958.102876,5027.02516,5220.461888,4935.241838,4936.378953,5019.261856,5062.108255,5088.296912,5226.715589,5342.751654,5455.874451
San Marino,42602.72923,43684.35067,41955.03786,36417.59343,34338.01595,33233.39546,,,,,
Sao Tome and Principe,1619.667609,1626.890927,1746.87152,1787.370014,1835.456105,1890.427614,1927.702511,1974.190695,2051.032775,2771.495241,4007.828535
Saudi Arabia,21667.79706,22212.03432,23293.77485,22943.13849,23841.28888,25127.13555,26259.62135,26820.93462,27363.48577,28017.74755,28674.50462
Senegal,1671.193351,1707.392095,1723.337967,1714.164495,1740.515097,1739.372608,1753.488009,1776.054549,1808.756621,1844.161887,1883.971948
Serbia,8954.06264,9475.925194,9877.972059,9570.543573,9437.814608,9502.940866,9335.959115,9522.781638,9713.281031,9926.973226,10175.14754
Serbia and Montenegro,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,
Seychelles,15216.81606,16668.03308,15994.53978,15906.96721,16341.86498,16965.41754,17237.46117,17590.0426,18068.98261,18542.08747,19003.28314
Sierra Leone,798.8437311,838.7921795,861.0477914,866.7550924,889.5818389,919.1363742,1072.957879,1224.976234,1363.519658,1490.574079,1514.217958
Singapore,43217.56875,44673.85221,44103.96813,42988.99142,48324.58055,49587.16472,49381.95601,49513.74709,51163.89426,52396.67254,53587.85307
Slovak Republic,17175.13377,18969.71233,20044.24168,19006.84577,19794.74169,20382.43231,20780.98578,21054.15694,21602.18139,22277.85931,23041.45694
Slovenia,24279.52924,25878.75511,26755.74025,24389.87655,24515.9774,24624.30243,23986.85068,23447.03443,23743.65603,24139.52101,24546.01543
Solomon Islands,1739.524083,1808.214228,1892.289087,1761.279947,1820.628849,1964.074105,2024.230673,2058.841298,2088.791787,2119.677606,2147.734365
Somalia,934.3810178,938.2581562,942.2861569,945.8394987,948.4843629,949.7615958,953.2757137,,,,
Somaliland,,,,,,,,,,,
South Africa,8857.048472,9160.532691,9385.984291,9139.389386,9322.168814,9530.264653,9657.252754,9814.129338,10022.52421,10243.56869,10456.01448
South Ossetia,,,,,,,,,,,
South Sudan,2425.167243,2635.909783,2650.0624,2660.14914,2709.001354,3198.476871,1433.037201,1855.352959,2714.38268,2804.934086,3121.69186
Spain,27949.66729,28403.03141,28204.17887,26950.02229,26779.63704,26860.77017,26457.75726,26083.09814,26333.63179,26750.29378,27204.95471
Sri Lanka,3718.746931,3940.576322,4142.531745,4255.731483,4561.071915,4903.730474,5182.666588,5469.237086,5798.813909,6133.85237,6488.248359
Sudan,2387.381518,2524.534357,2535.414048,2598.927235,2597.127808,3131.295087,2917.616416,2876.586437,2875.195556,2921.081453,2930.923052
Suriname,7564.48554,7861.129594,8075.176011,8206.057808,8431.137039,8711.004831,8979.805492,9256.167931,9541.190801,9870.051484,10212.9306
Svalbard,,,,,,,,,,,
Swaziland,4460.08535,5023.459829,5121.002365,5124.722706,5163.288425,5115.891231,4979.704127,4920.430491,4877.129304,4834.728067,4793.187562
Sweden,33211.45498,34091.93364,33563.33839,31604.8425,33316.77213,34326.67591,34530.26282,34669.3364,35224.88477,35820.13639,36462.65414
Switzerland,36635.1663,37790.73022,38181.48483,36518.56609,37220.03817,37536.64462,37678.39281,37931.6175,38379.5235,38871.6666,39370.12034
Syria,4160.524529,4290.113684,4373.581623,4519.952359,4609.73113,4520,4432.015539,,,,
Taiwan,27358.90217,28892.40377,29003.86744,28376.86073,31372.91051,32559.99047,32840.86235,33680.04116,34842.18,36222.35089,37692.69919
Tajikistan,1481.184295,1563.038996,1650.428953,1679.27938,1768.095085,1854.059295,1952.100427,2045.864316,2123.944979,2205.128739,2289.331731
Tanzania,1056.850116,1100.834772,1149.138872,1183.151678,1229.299421,1269.58037,1330.056145,1394.976358,1466.03484,1538.608833,1612.249965
Thailand,7171.648618,7508.367883,7652.231674,7458.024057,7996.075059,7977.540565,8451.159641,8908.23782,9244.16838,9575.933599,9967.614337
Timor-Leste,2082.852787,2269.597091,2539.773518,2795.788412,2987.64296,3226.294676,3466.082812,3724.607299,4003.387004,4304.086491,4628.501448
Togo,901.1854325,899.0802229,897.7584614,909.5874928,925.3900846,949.339721,975.3968525,1003.150434,1035.083039,1068.999214,1097.174637
